1	LMR Default/Test	Default/Testing
11201	ADOT Anchor	Anchorage
11202	ADOT Girdwd	Girdwood
11203	ADOT Silvert	Silvertip
11204	ADOT Cascade	Cascade
11205	ADOT Chulitn	Chulitna
11207	ADOT Palmer	Palmer
11208	ADOT Talkeet	Talkeetna
11209	ADOT Willow	Willow
11210	ADOT Track 1	Track 1
11212	ADOT Flag 1	Flag 1
11213	ADOT Flag 2	Flag 2
11214	ADOT Avalan1	Avalanche 1
11215	ADOT Ops 1	Ops 1
11217	ADOT Homer	Homer
11218	ADOT Kachemk	Kachemak Bay
11219	ADOT Kodiak	Kodiak
11221	ADOT Kenai	Kenai
11222	ADOT Quartz	Quartz Creek
11223	ADOT Seldovi	Seldovia
11224	ADOT Seward	Seward
11225	ADOT Soldotn	Soldotna
11226	ADOT Ops 2	Ops 2
11228	ADOT Flag 3	Flag 3
11229	ADOT Flag 4	Flag 4
11230	ADOT Avalan2	Avalanche 2
11231	ADOT Avalan3	Avalanche 3
11233	ADOT Chitina	Chitina
11234	ADOT Ernesti	Ernestine
11235	ADOT Nelchin	Nelchina
11236	ADOT Paxson	Paxson
11238	ADOT Tazlina	Tazlina
11239	ADOT Cordova	Cordova
11240	ADOT Thompsn	Thompson Pass
11241	ADOT Valdez	Valdez
11242	ADOT Track 5	Track 5
11244	ADOT Flag 5	Flag 5
11245	ADOT Flag 6	Flag 6
11246	ADOT Avalan4	Avalanche 4
11248	ADOT Bridges	Bridge Maintenance
11281	CVE Region B	Region B - Southcentral
11282	CVE Region E	Region E - Kenai
11287	CVE Statewide	Statewide
11350	Emerg Ops	Emergency Operations
11351	Emerg Ops Main	Emergency Operations Main
11352	Emerg Ops Tac 1	Emergency Operations Tac
11353	Emerg Ops Tac 2	Emergency Operations Tac
11354	Emerg Ops Tac 3	Emergency Operations Tac
11371	AK Defense 49th1	Alaska State Defense Force, 49th Brigade Main
11372	AK Defense 49th2	Alaska State Defense Force, 49th Brigade Training
11373	AK Defense 49th3	Alaska State Defense Force, 49th Brigade
11418	Juv Probation	Juvenile Probation
11419	Juv Just Anch 1	Juvenile Justice - Anchorage/MatSu 1
11422	Juv Just Anch 2	Juvenile Justice - Anchorage/MatSu 2
11424	Juv Just MatSu	Juvenile Justice - MatSu
11504	DNR S Aviation	South Zone Aviation
11506	DNR MSS Disp	Mat-Su Area Dispatch
11507	DNR KKS Disp	Kenai Kodiak Area Dispatch
11508	DNR CRS Disp	Copper River Area Dispatch
11511	Mat-Su ParkR	Matanuska-Susitna Parks Rangers
11512	Mat-Su ParkS	Matanuska-Susitna Parks Staff Ops
11513	State Parks	State Parks Ops
11514	Chug Park S	Chugach Parks Staff Ops
11515	Chug Park R	Chugach Parks Rangers
11516	Kenai Park R	Kenai Parks Rangers
11517	Kenai Park S	Kenai Parks Staff Ops
11551	DNR South 1	South Command 1
11552	DNR South 2	South Command 2
11553	DNR South 3	South Command 3
11554	DNR South 4	South Command 4
11555	DNR South 5	South Command 5
11556	DNR South 6	South Command 6
11557	DNR South 7	South Command 7
11558	DNR South 8	South Command 8
11559	DNR South 9	South Command 9
11621	DEC North	North Zone
11811	AST Disp E	E Dispatch
11812	AST NCIC E	E NCIC
11813	AST Detect E	E Detectives
11814	AST SERT all	SERT Statewide
